,x,y,f090w,e_f090w,f187n,e_f187n,f200w,e_f200w,f335m,e_f335m,f444w,e_f444w,f470n,e_f470n,f090w-f444w,e_f090w-f444w,f090w-f187n,e_f090w-f187n,δ_f090w-f187n,e_δ_f090w-f187n,f187n-f200w,e_f187n-f200w,δ_f187n-f200w,e_δ_f187n-f200w,f200w-f335m,e_f200w-f335m,δ_f200w-f335m,e_δ_f200w-f335m,f335m-f444w,e_f335m-f444w,δ_f335m-f444w,e_δ_f335m-f444w,f444w-f470n,e_f444w-f470n,δ_f444w-f470n,e_δ_f444w-f470n,(f090w-f200w)-(f200w-f444w),e_δ_(f090w-f200w)-(f200w-f444w),δ_(f090w-f200w)-(f200w-f444w),RA,DEC,yso_candidate,p1
0,5371.345,4103.498,12.583034726688101,0.1855,8.044090909090912,0.1667,14.657521276595748,0.1254,10.302389473684213,0.0455,12.344624999999999,0.0275,5.127285714285714,0.0364,0.23840972668810245,0.1875273313413274,4.53894381759719,0.2493975541179183,1.7445017856596148,0.2493975541179183,-6.6134303675048365,0.2086002157237619,-0.6840041340334286,0.2086002157237619,4.355131802911535,0.1333994377799247,-0.24517475824596424,0.1333994377799247,-2.0422355263157854,0.053164838004079354,-0.815322893380221,0.053164838004079354,7.217339285714285,0.045620280577830734,-0.1789216400900111,0.045620280577830734,-4.387382826503396,0.25810234404204857,2.1209953032523696,159.20421178570217,-58.634930753226236,True,0.65
1,6827.287,4652.729,17.1310347266881,0.0333,12.06809090909091,0.0953,,,13.13438947368421,0.1616,,,9.232285714285714,0.0193,,,5.062943817597189,0.10095038385266299,,0.10095038385266299,,,,,,,,,,,,,,,,,,,,159.21875827369246,-58.62368431141334,True,0.6
2,5972.287,5057.934,16.7180347266881,0.0909,12.48009090909091,0.1704,,,,,,,11.031285714285714,0.0194,,,4.2379438175971895,0.19312941257094943,,0.19312941257094943,,,,,,,,,,,,,,,,,,,,159.22207222808177,-58.63174564159488,True,0.78
3,8629.324,4593.217,12.9400347266881,0.3293,,,,,,,16.030625,0.1638,8.924285714285714,0.2014,-3.0905902733119,0.367789246716105,,,,,,,,,,,,,,,,,7.106339285714286,0.25960046224920325,-0.34680694069068085,0.25960046224920325,,,,159.22471306481782,-58.60828372978126,True,0.56
4,7873.049,5465.415,15.8530347266881,0.0888,12.70309090909091,0.0331,16.510521276595746,0.2198,14.356389473684212,0.0442,,,9.180285714285713,0.0155,,,3.1499438175971903,0.09476840190696476,,0.09476840190696476,-3.8074303675048355,0.2222783165313252,,0.2222783165313252,2.154131802911534,0.22420008920604825,,0.22420008920604825,,,,,,,,,,,,159.2360107897856,-58.616441490861334,True,0.69
5,8567.649,5411.866,13.077034726688101,0.0698,9.37409090909091,0.0338,15.309521276595746,0.04,10.62538947368421,0.0358,11.809625000000002,0.0203,4.446285714285713,0.0389,1.2674097266880988,0.07269202157045847,3.702943817597191,0.07755307859782228,0.12462187821407822,0.07755307859782228,-5.935430367504836,0.05236831102871277,-0.07095447258515097,0.05236831102871277,4.684131802911535,0.053680909083211326,-0.08001313910857988,0.053680909083211326,-1.184235526315792,0.04115495109947283,0.026345733479653966,0.04115495109947283,7.363339285714289,0.0438782406210641,-0.015338289438733277,0.0438782406210641,-5.732382826503388,0.0921093372031305,0.10733481125785271,159.23780490044254,-58.61044383566673,True,0.77
6,9214.985,5605.439,15.055034726688099,0.0601,11.686090909090911,0.0412,17.883521276595747,0.0262,,,,,9.406285714285714,0.0183,,,3.368943817597188,0.0728659728542754,,0.0728659728542754,-6.197430367504836,0.04882499359958996,,0.04882499359958996,,,,,,,,,,,,,,,,159.24344016234184,-58.605340845103136,True,0.81
7,10945.73,5370.297,17.1400347266881,0.0505,11.75109090909091,0.0787,16.759521276595745,0.2084,,,,,9.477285714285713,0.0191,,,5.388943817597189,0.09350903699643154,,0.09350903699643154,-5.008430367504834,0.22276501071757207,,0.22276501071757207,,,,,,,,,,,,,,,,159.2462496318414,-58.59019290292596,True,0.68
8,10923.95,5562.961,14.8730347266881,0.0616,9.48709090909091,0.1001,16.379521276595746,0.04,11.197389473684213,0.0214,12.633625,0.0094,5.228285714285713,0.0183,2.2394097266881,0.06231308048877057,5.385943817597191,0.11753539892304786,1.0671638898398639,0.11753539892304786,-6.892430367504836,0.10779615020955062,-1.0893069789722025,0.10779615020955062,5.182131802911533,0.04536474401999861,0.2632240754701698,0.04536474401999861,-1.4362355263157873,0.023373489255992565,-0.24108098633782915,0.023373489255992565,7.4053392857142875,0.020573040611440985,0.043271056365965954,0.020573040611440985,-5.252382826503391,0.08416008555128732,-0.044286178264679066,159.24930144239997,-58.59076249080617,True,0.76
9,5299.906,7038.467,17.023034726688103,0.2095,12.359090909090911,0.1374,,,13.781389473684213,0.0511,15.489625,0.0216,8.203285714285714,0.0161,1.5334097266881024,0.21061056478723947,4.6639438175971915,0.2505374423115236,0.8829862558812152,0.2505374423115236,,,,,,,,,-1.7082355263157876,0.055477653158726895,-0.5018759820259504,0.055477653158726895,7.286339285714286,0.02694011878221772,-0.0877929334880676,0.02694011878221772,,,,159.25176102015118,-58.64140693418816,True,0.53
10,10411.17,5909.95,15.947034726688099,0.0839,11.38609090909091,0.0972,16.377521276595747,0.274,13.12238947368421,0.1387,,,9.024285714285714,0.0097,,,4.560943817597188,0.12840190808551094,,0.12840190808551094,-4.991430367504837,0.2907298402297226,,0.2907298402297226,3.255131802911537,0.3071053402336078,,0.3071053402336078,,,,,,,,,,,,159.25298335712512,-58.5958043905442,True,0.6
11,9252.34,6223.618,17.1370347266881,0.0695,13.260090909090911,0.0611,16.543521276595747,0.2331,,,,,9.253285714285713,0.019,,,3.876943817597189,0.09253896476619998,,0.09253896476619998,-3.2834303675048364,0.24097472896550792,,0.24097472896550792,,,,,,,,,,,,,,,,159.2536477079339,-58.60625888091249,True,0.76
12,8238.83,6781.116,14.833034726688101,0.0595,11.330090909090911,0.0288,17.014521276595747,0.0212,13.248389473684211,0.0307,15.474625000000001,0.0119,8.467285714285714,0.0108,-0.6415902733119001,0.06067833221175414,3.50294381759719,0.06610363076261394,1.3788752730766003,0.06610363076261394,-5.684430367504836,0.035761431738676235,0.30054134500011553,0.035761431738676235,3.766131802911536,0.037308578102093364,-0.6940603023090297,0.037308578102093364,-2.22623552631579,0.032925673873134324,-0.985356315767685,0.032925673873134324,7.007339285714288,0.0160701586799882,-0.40395890789673494,0.0160701586799882,-3.721382826503392,0.06768116429258586,3.358833236153429,159.25884058760923,-58.61596769997295,True,0.8
13,13311.86,6549.674,17.5000347266881,0.199,12.42409090909091,0.0387,18.156521276595747,0.0723,12.87238947368421,0.0261,14.080625,0.0162,6.8342857142857145,0.0157,3.4194097266881,0.19965830811664215,5.075943817597189,0.2027281184246527,-0.14174601374200257,0.2027281184246527,-5.732430367504836,0.0820059753920408,-0.0037884167671817792,0.0820059753920408,5.284131802911537,0.07686676785191375,0.17734332773655925,0.07686676785191375,-1.2082355263157893,0.030718886698576822,-0.03180889722737423,0.030718886698576822,7.246339285714285,0.02255947694429106,-0.09556533452956284,0.02255947694429106,-4.732382826503395,0.22431678492703128,-0.2910688610183687,159.27449801184915,-58.57247920770583,True,0.77
14,11586.18,7103.347,16.267034726688102,0.0671,,,17.383521276595747,0.021,12.59038947368421,0.1092,14.115625,0.1112,6.607285714285714,0.1105,2.1514097266881027,0.12987628728909678,,,,,,,,,4.793131802911537,0.11120089927693931,-0.1117644789361334,0.11120089927693931,-1.5252355263157895,0.15585275101838914,-0.3286843285765775,0.15585275101838914,7.508339285714285,0.15676635480867698,0.14476732958529137,0.15676635480867698,-4.384382826503392,0.13322856300358418,0.8808976150254235,159.27690526159336,-58.588220041563375,True,0.56
15,13459.78,6805.978,16.058034726688103,0.0647,11.31309090909091,0.0197,16.987521276595746,0.0244,12.036389473684212,0.0157,13.244625000000001,0.0105,5.957285714285712,0.0119,2.8134097266881017,0.06554647206371979,4.744943817597193,0.06763268440628391,-0.011102453088940756,0.06763268440628391,-5.674430367504836,0.031360006377550376,0.0924622199309173,0.031360006377550376,4.951131802911535,0.029014651471282574,-0.05916876283414574,0.029014651471282574,-1.2082355263157893,0.018887562044901402,-0.02219100400782925,0.018887562044901402,7.287339285714289,0.015870097668256488,-0.06492054395100855,0.015870097668256488,-4.672382826503389,0.07407469203445938,0.1627195336839531,159.27923283712633,-58.57173564794792,True,0.6
16,8581.386,7933.192,18.8710347266881,0.0916,13.77809090909091,0.0716,17.745521276595746,0.2414,,,,,9.565285714285714,0.0132,,,5.092943817597192,0.11626314979390504,,0.11626314979390504,-3.9674303675048357,0.25179459883007815,,0.25179459883007815,,,,,,,,,,,,,,,,159.27891591821117,-58.615360664649096,True,0.55
17,8678.943,8282.736,17.627034726688102,0.0957,13.33709090909091,0.058,,,,,,,9.572285714285714,0.0135,,,4.289943817597191,0.11190393201313348,,0.11190393201313348,,,,,,,,,,,,,,,,,,,,159.28498230812713,-58.615229948565116,True,0.88
18,12864.75,8051.707,17.6520347266881,0.1127,13.13709090909091,0.1253,17.535521276595745,0.2893,,,,,10.264285714285714,0.0207,,,4.5149438175971905,0.16852708981051087,,0.16852708981051087,-4.398430367504835,0.3152690596934625,,0.3152690596934625,,,,,,,,,,,,,,,,159.29722524182964,-58.57926490577793,True,0.95
19,13533.14,7986.301,14.9830347266881,0.0487,11.86309090909091,0.0246,17.657521276595745,0.0278,13.981389473684212,0.0179,,,8.553285714285714,0.0154,,,3.119943817597189,0.05456051685972192,,0.05456051685972192,-5.794430367504834,0.03712142238654117,,0.03712142238654117,3.6761318029115326,0.033064331234730876,,0.033064331234730876,,,,,,,,,,,,159.2987139663542,-58.57346512101628,True,0.78
20,746.677,1572.898,16.398034726688103,0.4225,12.99609090909091,0.0392,15.911521276595746,0.2231,13.403389473684213,0.0259,14.506625000000001,0.0188,7.274285714285712,0.0183,1.8914097266881011,0.42291806535072485,3.4019438175971928,0.424314612051011,-0.6517338674088737,0.424314612051011,-2.915430367504836,0.22651765935573323,2.909658733191063,0.22651765935573323,2.5081318029115334,0.2245983526208507,-2.3553670260456796,0.2245983526208507,-1.103235526315789,0.03200390601161052,0.09744216026349206,0.03200390601161052,7.232339285714289,0.026236043909095747,-0.1356754995394187,0.026236043909095747,-0.9183828265033878,0.5276427863621372,4.515849731564377,159.14512808876103,-58.66906339917625,False,
21,358.474,6565.465,13.677034726688099,0.0313,9.940090909090909,0.032,15.758521276595747,0.0429,11.056389473684211,0.016,12.185625,0.0142,4.816285714285714,0.0189,1.491409726688099,0.03437048152121236,3.73694381759719,0.04476259599263653,-0.012018645855700338,0.04476259599263653,-5.818430367504838,0.05352018310880485,0.031906678206307326,0.05352018310880485,4.702131802911536,0.04578657008337707,-0.09767863698343504,0.04578657008337707,-1.1292355263157887,0.02139252205795287,0.07779060463282894,0.02139252205795287,7.369339285714286,0.023640008460235375,-0.005510621269752214,0.023640008460235375,-5.6543828265033955,0.06972911873815701,0.03977606470121309,159.22505702712502,-58.68236788953704,False,
22,10716.11,5713.043,,,10.20609090909091,0.1437,,,14.912389473684211,0.1655,17.110625,0.1998,9.861285714285714,0.1827,,,,,,,,,,,,,,,-2.198235526315788,0.2594422671809665,,0.2594422671809665,7.249339285714285,0.27073849006005773,,0.27073849006005773,,,,159.25094730763865,-58.5928249412359,False,
23,6044.958,7029.765,17.4220347266881,0.1589,11.15909090909091,0.1231,17.005521276595747,0.2218,13.415389473684213,0.1505,,,9.106285714285713,0.0142,,,6.26294381759719,0.20100452731219765,,0.20100452731219765,-5.846430367504837,0.25367075117167137,,0.25367075117167137,3.590131802911534,0.26804009028501685,,0.26804009028501685,,,,,,,,,,,,159.25447803287054,-58.6350707255253,False,
24,8694.198,6825.997,17.770034726688102,0.059,13.50709090909091,0.0234,17.398521276595744,0.2534,,,,,9.325285714285714,0.0186,,,4.262943817597192,0.06347093823160328,,0.06347093823160328,-3.8914303675048334,0.2544781326558335,,0.2544781326558335,,,,,,,,,,,,,,,,159.26131678252614,-58.61219518847893,False,
25,12200.42,6355.425,14.4190347266881,0.0605,9.058090909090911,0.0971,16.123521276595746,0.0458,11.16338947368421,0.0642,12.837625000000001,0.0887,5.943285714285713,0.0559,1.5814097266880989,0.10736824483989668,5.360943817597189,0.11440568167709156,1.5434204292948346,0.11440568167709156,-7.065430367504835,0.10735944299408413,-1.220774109422119,0.10735944299408413,4.960131802911535,0.07886241183225377,0.14599147547755997,0.07886241183225377,-1.6742355263157904,0.10949579900617191,-0.4686377953502736,0.10949579900617191,6.894339285714288,0.10484512387326365,-0.47897271888042603,0.10484512387326365,-4.9903828265033905,0.12539226451420357,0.6452926397454286,159.26708543359942,-58.5815184999703,False,
26,8027.038,7983.539,13.574034726688101,0.0741,9.87409090909091,0.0257,15.773521276595748,0.0449,11.022389473684212,0.0178,12.215625000000001,0.02,4.896285714285712,0.0207,1.3584097266881,0.07675161236091395,3.699943817597191,0.0784302237660967,0.05229916531073009,0.0784302237660967,-5.899430367504838,0.05173490117899135,-0.040698380076122476,0.05173490117899135,4.7511318029115355,0.04829958591955008,-0.027502247620240006,0.04829958591955008,-1.1932355263157888,0.026773867856549977,0.01590146238563328,0.026773867856549977,7.319339285714289,0.02878350221915325,-0.05778329924508352,0.02878350221915325,-5.7573828265033935,0.0996134027126872,0.023201570469215227,159.27761351664466,-58.620162919066864,False,
